study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJDB4107	SAMD00035978	DRX037501	DRR041867	447426	human oral metagenome	54a6aecf739868cbf781eef4f536ac27	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041867/DRR041867.fastq.gz	SAMD00035978
PRJDB4107	SAMD00035983	DRX037506	DRR041872	447426	human oral metagenome	06d47d5ebd3559115fd0bf7a96998018	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041872/DRR041872.fastq.gz	SAMD00035983
PRJDB4107	SAMD00035986	DRX037509	DRR041875	447426	human oral metagenome	ffb5f7ac6fcd42f3474f5ac73ebf2304	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041875/DRR041875.fastq.gz	SAMD00035986
PRJDB4107	SAMD00035988	DRX037511	DRR041877	447426	human oral metagenome	3b0161a3dc3628a6cd89d34220148dbf	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041877/DRR041877.fastq.gz	SAMD00035988
PRJDB4107	SAMD00035989	DRX037512	DRR041878	447426	human oral metagenome	1b7f66cdc909f3e9222bf70ea56a73b7	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041878/DRR041878.fastq.gz	SAMD00035989
PRJDB4107	SAMD00035993	DRX037516	DRR041882	447426	human oral metagenome	75e7b1d64b34f407f2f7a2aa0b3c6327	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041882/DRR041882.fastq.gz	SAMD00035993
PRJDB4107	SAMD00035996	DRX037519	DRR041885	447426	human oral metagenome	30dc38f326a3e483522299b81fe07106	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041885/DRR041885.fastq.gz	SAMD00035996
PRJDB4107	SAMD00035998	DRX037521	DRR041887	447426	human oral metagenome	0eec13094585f0bc84591a331d937522	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041887/DRR041887.fastq.gz	SAMD00035998
PRJDB4107	SAMD00036002	DRX037525	DRR041891	447426	human oral metagenome	fc2480e8b7dd25c86435838c26e37033	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041891/DRR041891.fastq.gz	SAMD00036002
PRJDB4107	SAMD00036004	DRX037527	DRR041893	447426	human oral metagenome	eb03f4bb8af353d42cee24f3775ec09e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041893/DRR041893.fastq.gz	SAMD00036004
PRJDB4107	SAMD00036005	DRX037528	DRR041894	447426	human oral metagenome	c3b8d1551b6cfd6ea46997675763bb41	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041894/DRR041894.fastq.gz	SAMD00036005
PRJDB4107	SAMD00036007	DRX037530	DRR041896	447426	human oral metagenome	42f62eb625d9e923313cfcef1cb1f8e0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041896/DRR041896.fastq.gz	SAMD00036007
PRJDB4107	SAMD00036011	DRX037534	DRR041900	447426	human oral metagenome	fec850be96bc1f21876a9442030b775e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041900/DRR041900.fastq.gz	SAMD00036011
PRJDB4107	SAMD00036014	DRX037537	DRR041903	447426	human oral metagenome	79bc2d1b5f20a0e7a6ae46a2ca5cc75b	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041903/DRR041903.fastq.gz	SAMD00036014
PRJDB4107	SAMD00036019	DRX037542	DRR041908	447426	human oral metagenome	6ceefba7c6514e8d123521229580fe26	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041908/DRR041908.fastq.gz	SAMD00036019
PRJDB4107	SAMD00036020	DRX037543	DRR041909	447426	human oral metagenome	d6341f7d8538585ab34e576403437820	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041909/DRR041909.fastq.gz	SAMD00036020
PRJDB4107	SAMD00036021	DRX037544	DRR041910	447426	human oral metagenome	4770f9723da30fb4b9dad44dfd65f71e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041910/DRR041910.fastq.gz	SAMD00036021
PRJDB4107	SAMD00036022	DRX037545	DRR041911	447426	human oral metagenome	2005c0e3c950d408cace4993230409ce	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041911/DRR041911.fastq.gz	SAMD00036022
PRJDB4107	SAMD00036023	DRX037546	DRR041912	447426	human oral metagenome	e09120e148c21fcaecd447d1874a89cc	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041912/DRR041912.fastq.gz	SAMD00036023
PRJDB4107	SAMD00036024	DRX037547	DRR041913	447426	human oral metagenome	4e26dc9f2c17fd07b0f46d50e4bac96c	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041913/DRR041913.fastq.gz	SAMD00036024
PRJDB4107	SAMD00036028	DRX037551	DRR041917	447426	human oral metagenome	b9e974420afe8a42f6e681053f0a287c	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041917/DRR041917.fastq.gz	SAMD00036028
PRJDB4107	SAMD00036030	DRX037553	DRR041919	447426	human oral metagenome	ba62fc4f6ef52bfe1eed7be9f934b735	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041919/DRR041919.fastq.gz	SAMD00036030
PRJDB4107	SAMD00036033	DRX037556	DRR041922	447426	human oral metagenome	cd864e3994433c8357811e8f3aaae75b	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041922/DRR041922.fastq.gz	SAMD00036033
PRJDB4107	SAMD00036035	DRX037558	DRR041924	447426	human oral metagenome	8310e78f0e192f6be98976d1a617426d	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041924/DRR041924.fastq.gz	SAMD00036035
PRJDB4107	SAMD00036038	DRX037561	DRR041927	447426	human oral metagenome	b9cfccb0ab5d78d0090e52e7fda40fb2	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041927/DRR041927.fastq.gz	SAMD00036038
PRJDB4107	SAMD00036040	DRX037563	DRR041929	447426	human oral metagenome	4193e631291a22493314132685f8c5e6	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041929/DRR041929.fastq.gz	SAMD00036040
PRJDB4107	SAMD00036041	DRX037564	DRR041930	447426	human oral metagenome	1a5f9f710989a12d0b87564b43f41399	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041930/DRR041930.fastq.gz	SAMD00036041
PRJDB4107	SAMD00036048	DRX037571	DRR041937	447426	human oral metagenome	077db8d1d96b438a96eb066003ed6b21	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041937/DRR041937.fastq.gz	SAMD00036048
PRJDB4107	SAMD00036049	DRX037572	DRR041938	447426	human oral metagenome	d6b1f67518ae0b226aa33c368e3ddcb3	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041938/DRR041938.fastq.gz	SAMD00036049
PRJDB4107	SAMD00036051	DRX037574	DRR041940	447426	human oral metagenome	ba37476ddb9b98d7daf4726be38281e6	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041940/DRR041940.fastq.gz	SAMD00036051
PRJDB4107	SAMD00036054	DRX037577	DRR041943	447426	human oral metagenome	750c24a420a6af83faf4768666e4f848	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041943/DRR041943.fastq.gz	SAMD00036054
PRJDB4107	SAMD00036055	DRX037578	DRR041944	447426	human oral metagenome	d103a6b144754288e2223ea56e22bca0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041944/DRR041944.fastq.gz	SAMD00036055
PRJDB4107	SAMD00036057	DRX037580	DRR041946	447426	human oral metagenome	aeeaeef0d421ff17ae8def61a4092a37	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041946/DRR041946.fastq.gz	SAMD00036057
PRJDB4107	SAMD00036060	DRX037583	DRR041949	447426	human oral metagenome	f83035ac08496f0587275147c2e8ba5f	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041949/DRR041949.fastq.gz	SAMD00036060
PRJDB4107	SAMD00036061	DRX037584	DRR041950	447426	human oral metagenome	7b12f7170c0b50a6a375d9db9aad4e6f	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041950/DRR041950.fastq.gz	SAMD00036061
PRJDB4107	SAMD00036063	DRX037586	DRR041952	447426	human oral metagenome	939407f2268bb98663d7f3c2a2bac6df	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041952/DRR041952.fastq.gz	SAMD00036063
PRJDB4107	SAMD00036064	DRX037587	DRR041953	447426	human oral metagenome	7cc36819b84287fdff3cc9e6edf1e0db	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041953/DRR041953.fastq.gz	SAMD00036064
PRJDB4107	SAMD00036066	DRX037589	DRR041955	447426	human oral metagenome	c1002555543767a29cab5449a09ec8f8	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041955/DRR041955.fastq.gz	SAMD00036066
PRJDB4107	SAMD00036067	DRX037590	DRR041956	447426	human oral metagenome	6d1866cd3204ab8b0addcd6c45740ccc	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041956/DRR041956.fastq.gz	SAMD00036067
PRJDB4107	SAMD00036072	DRX037595	DRR041961	447426	human oral metagenome	ba0b1f89a82ed74ac8c4cfaf78514fcd	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041961/DRR041961.fastq.gz	SAMD00036072
PRJDB4107	SAMD00036081	DRX037604	DRR041970	447426	human oral metagenome	0bb5202e7b77b715f10311bb1ae4b662	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041970/DRR041970.fastq.gz	SAMD00036081
PRJDB4107	SAMD00036082	DRX037605	DRR041971	447426	human oral metagenome	7186c06ebb989644ba123f37dd96aa30	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041971/DRR041971.fastq.gz	SAMD00036082
PRJDB4107	SAMD00036084	DRX037607	DRR041973	447426	human oral metagenome	ad5336795140c10f2e46a2268d559361	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041973/DRR041973.fastq.gz	SAMD00036084
PRJDB4107	SAMD00036087	DRX037610	DRR041976	447426	human oral metagenome	3b3ecd7a09051640c62e32dc8316a46d	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041976/DRR041976.fastq.gz	SAMD00036087
PRJDB4107	SAMD00036091	DRX037614	DRR041980	447426	human oral metagenome	4019736ab68d07d0048a8cb8376f350e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041980/DRR041980.fastq.gz	SAMD00036091
PRJDB4107	SAMD00036093	DRX037616	DRR041982	447426	human oral metagenome	f363cf8cb7fb2913dcbe246b98506333	ftp.sra.ebi.ac.uk/vol1/fastq/DRR041/DRR041982/DRR041982.fastq.gz	SAMD00036093
